Veiculo ID: 2 | Cor: Verde | Tipo: SEDAN | Estacao: 0 | Funcionario: 2 | Pos_Esteira_Fabrica: 0 | Loja: 1 | Pos_Esteira_Loja: 0
Veiculo ID: 1 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 1 | Loja: 1 | Pos_Esteira_Loja: 1
Veiculo ID: 3 | Cor: Azul | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 2 | Loja: 1 | Pos_Esteira_Loja: 2
Veiculo ID: 5 | Cor: Verde | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 3 | Loja: 1 | Pos_Esteira_Loja: 3
Veiculo ID: 4 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 4 | Loja: 1 | Pos_Esteira_Loja: 4
Veiculo ID: 6 | Cor: Azul | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 5 | Loja: 1 | Pos_Esteira_Loja: 5
Veiculo ID: 8 | Cor: Verde | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 6 | Loja: 1 | Pos_Esteira_Loja: 6
Veiculo ID: 9 | Cor: Azul | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 7 | Loja: 1 | Pos_Esteira_Loja: 7
Veiculo ID: 7 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 8 | Loja: 1 | Pos_Esteira_Loja: 8
Veiculo ID: 10 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 9 | Loja: 1 | Pos_Esteira_Loja: 9
Veiculo ID: 12 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 10 | Loja: 1 | Pos_Esteira_Loja: 10
Veiculo ID: 11 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 11 | Loja: 1 | Pos_Esteira_Loja: 11
Veiculo ID: 13 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 12 | Loja: 1 | Pos_Esteira_Loja: 12
Veiculo ID: 14 | Cor: Verde | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 13 | Loja: 1 | Pos_Esteira_Loja: 13
