Veiculo ID: 102 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 20 | Loja: 3 | Pos_Esteira_Loja: 0
Veiculo ID: 101 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 21 | Loja: 3 | Pos_Esteira_Loja: 1
Veiculo ID: 103 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 22 | Loja: 3 | Pos_Esteira_Loja: 2
Veiculo ID: 105 | Cor: Azul | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 23 | Loja: 3 | Pos_Esteira_Loja: 3
Veiculo ID: 104 | Cor: Verde | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 24 | Loja: 3 | Pos_Esteira_Loja: 4
Veiculo ID: 106 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 25 | Loja: 3 | Pos_Esteira_Loja: 5
Veiculo ID: 107 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 26 | Loja: 3 | Pos_Esteira_Loja: 6
Veiculo ID: 108 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 27 | Loja: 3 | Pos_Esteira_Loja: 7
Veiculo ID: 109 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 28 | Loja: 3 | Pos_Esteira_Loja: 8
Veiculo ID: 110 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 29 | Loja: 3 | Pos_Esteira_Loja: 9
Veiculo ID: 111 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 30 | Loja: 3 | Pos_Esteira_Loja: 10
Veiculo ID: 112 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 31 | Loja: 3 | Pos_Esteira_Loja: 11
Veiculo ID: 113 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 32 | Loja: 3 | Pos_Esteira_Loja: 12
Veiculo ID: 114 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 33 | Loja: 3 | Pos_Esteira_Loja: 13
Veiculo ID: 115 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 34 | Loja: 3 | Pos_Esteira_Loja: 14
Veiculo ID: 116 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 35 | Loja: 3 | Pos_Esteira_Loja: 15
Veiculo ID: 117 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 36 | Loja: 3 | Pos_Esteira_Loja: 16
Veiculo ID: 118 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 37 | Loja: 3 | Pos_Esteira_Loja: 17
Veiculo ID: 119 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 38 | Loja: 3 | Pos_Esteira_Loja: 18
Veiculo ID: 120 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 39 | Loja: 3 | Pos_Esteira_Loja: 19
Veiculo ID: 121 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 0 | Loja: 3 | Pos_Esteira_Loja: 20
Veiculo ID: 122 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 1 | Loja: 3 | Pos_Esteira_Loja: 21
Veiculo ID: 123 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 2 | Loja: 3 | Pos_Esteira_Loja: 22
Veiculo ID: 124 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 3 | Loja: 3 | Pos_Esteira_Loja: 23
Veiculo ID: 125 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 4 | Loja: 3 | Pos_Esteira_Loja: 24
Veiculo ID: 126 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 5 | Loja: 3 | Pos_Esteira_Loja: 25
Veiculo ID: 127 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 6 | Loja: 3 | Pos_Esteira_Loja: 26
Veiculo ID: 129 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 7 | Loja: 3 | Pos_Esteira_Loja: 27
Veiculo ID: 128 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 8 | Loja: 3 | Pos_Esteira_Loja: 28
Veiculo ID: 130 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 9 | Loja: 3 | Pos_Esteira_Loja: 29
Veiculo ID: 132 | Cor: Azul | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 10 | Loja: 3 | Pos_Esteira_Loja: 30
Veiculo ID: 131 | Cor: Verde | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 11 | Loja: 3 | Pos_Esteira_Loja: 31
Veiculo ID: 133 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 12 | Loja: 3 | Pos_Esteira_Loja: 32
Veiculo ID: 134 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 13 | Loja: 3 | Pos_Esteira_Loja: 33
Veiculo ID: 135 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 14 | Loja: 3 | Pos_Esteira_Loja: 34
Veiculo ID: 136 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 15 | Loja: 3 | Pos_Esteira_Loja: 35
Veiculo ID: 137 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 16 | Loja: 3 | Pos_Esteira_Loja: 36
Veiculo ID: 138 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 17 | Loja: 3 | Pos_Esteira_Loja: 37
Veiculo ID: 139 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 18 | Loja: 3 | Pos_Esteira_Loja: 38
Veiculo ID: 140 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 19 | Loja: 3 | Pos_Esteira_Loja: 39
Veiculo ID: 141 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 20 | Loja: 3 | Pos_Esteira_Loja: 40
Veiculo ID: 142 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 21 | Loja: 3 | Pos_Esteira_Loja: 41
Veiculo ID: 143 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 22 | Loja: 3 | Pos_Esteira_Loja: 42
Veiculo ID: 144 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 23 | Loja: 3 | Pos_Esteira_Loja: 43
Veiculo ID: 145 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 24 | Loja: 3 | Pos_Esteira_Loja: 44
