Cliente 1 comprou: Veiculo ID: 2 | Cor: Verde | Tipo: SEDAN | Estacao: 0 | Funcionario: 2 | Pos_Esteira_Fabrica: 0 | Loja: 1 | Pos_Esteira_Loja: 0
Cliente 2 comprou: Veiculo ID: 1 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 1 | Loja: 1 | Pos_Esteira_Loja: 1
Cliente 4 comprou: Veiculo ID: 3 | Cor: Azul | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 2 | Loja: 1 | Pos_Esteira_Loja: 2
Cliente 6 comprou: Veiculo ID: 5 | Cor: Verde | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 3 | Loja: 1 | Pos_Esteira_Loja: 3
Cliente 8 comprou: Veiculo ID: 4 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 4 | Loja: 1 | Pos_Esteira_Loja: 4
Cliente 10 comprou: Veiculo ID: 6 | Cor: Azul | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 5 | Loja: 1 | Pos_Esteira_Loja: 5
Cliente 3 comprou: Veiculo ID: 8 | Cor: Verde | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 6 | Loja: 1 | Pos_Esteira_Loja: 6
Cliente 14 comprou: Veiculo ID: 9 | Cor: Azul | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 7 | Loja: 1 | Pos_Esteira_Loja: 7
Cliente 4 comprou: Veiculo ID: 7 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 8 | Loja: 1 | Pos_Esteira_Loja: 8
Cliente 16 comprou: Veiculo ID: 10 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 9 | Loja: 1 | Pos_Esteira_Loja: 9
Cliente 8 comprou: Veiculo ID: 12 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 10 | Loja: 1 | Pos_Esteira_Loja: 10
Cliente 14 comprou: Veiculo ID: 11 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 11 | Loja: 1 | Pos_Esteira_Loja: 11
Cliente 18 comprou: Veiculo ID: 13 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 12 | Loja: 1 | Pos_Esteira_Loja: 12
Cliente 6 comprou: Veiculo ID: 14 | Cor: Verde | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 13 | Loja: 1 | Pos_Esteira_Loja: 13
Cliente 16 comprou: Veiculo ID: 15 | Cor: Azul | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 14 | Loja: 1 | Pos_Esteira_Loja: 14
Cliente 15 comprou: Veiculo ID: 16 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 15 | Loja: 1 | Pos_Esteira_Loja: 15
Cliente 17 comprou: Veiculo ID: 17 | Cor: Verde | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 16 | Loja: 1 | Pos_Esteira_Loja: 16
Cliente 19 comprou: Veiculo ID: 18 | Cor: Azul | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 17 | Loja: 1 | Pos_Esteira_Loja: 17
Cliente 18 comprou: Veiculo ID: 19 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 18 | Loja: 1 | Pos_Esteira_Loja: 18
Cliente 6 comprou: Veiculo ID: 21 | Cor: Azul | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 19 | Loja: 1 | Pos_Esteira_Loja: 19
